Column1;ROBOT B4;_1
1796;SR_SOUDER; lscs1002838900_B
1801;SR_SOUDER; lsdcg002932301
1802;SR_SOUDER; lscsd002940701
1803;SR_SOUDER; lscsd002940601
1804;SR_SOUDER; lscsd002940501
1805;SR_SOUDER; lscsd002940401
1811;SR_SOUDER; lscs1002838200_B
1812;SR_SOUDER; lspac002867100
1813;SR_SOUDER; lspac002867200
1814;SR_SOUDER; lspac006171300_B
1819;SR_SOUDER; lspac002867300
1820;SR_SOUDER; lspac004679300
1821;SR_SOUDER; lspac006171700
1822;SR_SOUDER; lspac002867400
1823;SR_SOUDER; lspac002867500
1828;SR_SOUDER; lspac006172100_B
1829;SR_SOUDER; lspac002867600
1830;SR_SOUDER; lspac002867700
1831;SR_SOUDER; lscs2002838400_B
1836;SR_SOUDER; lscs2002838300
1837;SR_SOUDER; lspac002872000
1838;SR_SOUDER; lspac002871900
1839;SR_SOUDER; lspac002871800
1840;SR_SOUDER; lspac002871700
1841;SR_SOUDER; lspac002871600
1842;SR_SOUDER; lspac002871500
1843;SR_SOUDER; lspac002871400
1844;SR_SOUDER; lspac002871300
1845;SR_SOUDER; lspac002871200
1846;SR_SOUDER; lspac002871100
1847;SR_SOUDER; lspac002871000
1848;SR_SOUDER; lspac002870900
1878;SR_SOUDER; lscs2002942400
1879;SR_SOUDER; lscsg002940402
1880;SR_SOUDER; lscsg002940502
1885;SR_SOUDER; lscsg002940602
1886;SR_SOUDER; lscsg002940702
1887;SR_SOUDER; lsdcd002932302
1892;SR_SOUDER; lscsg002940802
1893;SR_SOUDER; lscsg002940902
1894;SR_SOUDER; lscsg002941002
1895;SR_SOUDER; lscsg002941202
1906;SR_SOUDER; lscsg002941302
1916;SR_SOUDER; lscs2002948300
1917;SR_SOUDER; lscs2002947600
1918;SR_SOUDER; lscs2002948400
1928;SR_SOUDER; lscs2002947700
1929;SR_SOUDER; lscs2002947700_1
1937;SR_SOUDER; lscsg002952001
1938;SR_SOUDER; lscs1002947400
1939;SR_SOUDER; lscs1002947400_1
1940;SR_SOUDER; lscs1002947300
1941;SR_SOUDER; lscs1002839400
1942;SR_SOUDER; lspac002893200
1943;SR_SOUDER; lspac002893300
1944;SR_SOUDER; lspac002893400
1945;SR_SOUDER; lspac006169000
1946;SR_SOUDER; lspac002893500
1947;SR_SOUDER; lspac006167800
1948;SR_SOUDER; lspac002893600
1949;SR_SOUDER; lspac002893700
1950;SR_SOUDER; lspac002893800
1951;SR_SOUDER; lscs2002839600
1956;SR_SOUDER; lscs2002839500
1957;SR_SOUDER; lspac002893100
1961;SR_SOUDER; lspac002893000
1962;SR_SOUDER; lspac002892900
1963;SR_SOUDER; lspac006168400
1964;SR_SOUDER; lspac002892800
1965;SR_SOUDER; lspac006169600
1966;SR_SOUDER; lspac002892700
1967;SR_SOUDER; lspac002892600
1968;SR_SOUDER; lspac002892500
1969;SR_SOUDER; lscs1002839300
1973;SR_SOUDER; lsdc1002933000
1974;SR_SOUDER; lscs1002947200
1975;SR_SOUDER; lscs1002947100
1980;SR_SOUDER; lscs1002942300
1981;SR_SOUDER; lscsd002941201
1987;SR_SOUDER; lscsd002941001
1988;SR_SOUDER; lscsd002940901
1989;SR_SOUDER; lscsd002940801
1990;SR_SOUDER; lsdcg002932401
1991;SR_SOUDER; lscs1002839000
1992;SR_SOUDER; lspac002890400
1993;SR_SOUDER; lspac002890500
1994;SR_SOUDER; lspac002890600
1995;SR_SOUDER; lspac006168800
1996;SR_SOUDER; lspac002890700
1997;SR_SOUDER; lspac006167600
1998;SR_SOUDER; lspac002890800
1999;SR_SOUDER; lspac002890900
2000;SR_SOUDER; lspac002891000
2001;SR_SOUDER; lscs2002839200
2006;SR_SOUDER; lscs2002839100
2007;SR_SOUDER; lspac002890300
2008;SR_SOUDER; lspac002890200
2009;SR_SOUDER; lspac002890100
2010;SR_SOUDER; lspac006168200
2011;SR_SOUDER; lspac002890000
2012;SR_SOUDER; lspac006169400
2013;SR_SOUDER; lspac002889900
2014;SR_SOUDER; lspac002889800
2015;SR_SOUDER; lspac002889700
2016;SR_SOUDER; lscs1002838900
2017;SR_SOUDER; lsdcg002932301
2018;SR_SOUDER; lscsd002940701
2019;SR_SOUDER; lscsd002940601
2020;SR_SOUDER; lscsd002940501
2021;SR_SOUDER; lscsd002940401
2026;SR_SOUDER; lscs1002838200
2027;SR_SOUDER; lspac002867100
2028;SR_SOUDER; lspac002867200
2029;SR_SOUDER; lspac006171300
2030;SR_SOUDER; lspac002867300
2031;SR_SOUDER; lspac004679300
2032;SR_SOUDER; lspac006171700
2033;SR_SOUDER; lspac002867400
2034;SR_SOUDER; lspac002867500
2035;SR_SOUDER; lspac006172100
2036;SR_SOUDER; lspac002867600
2037;SR_SOUDER; lspac002867700
2038;SR_SOUDER; lscs2002838400
2043;SR_SOUDER; lscs2002838300
2044;SR_SOUDER; lspac002872000
2045;SR_SOUDER; lspac002871900
2046;SR_SOUDER; lspac002871800
2047;SR_SOUDER; lspac002871700
2048;SR_SOUDER; lspac002871600
2049;SR_SOUDER; lspac002871500
2050;SR_SOUDER; lspac002871400
2051;SR_SOUDER; lspac002871300
2052;SR_SOUDER; lspac002871200
2053;SR_SOUDER; lspac002871100
2054;SR_SOUDER; lspac002871000
2055;SR_SOUDER; lspac002870900
2071;SR_SOUDER; lscs1004359200
2072;SR_SOUDER; lscsd002940301
2084;SR_SOUDER; lscs2004359300
2121;SR_SOUDER; lspac002880300
2122;SR_SOUDER; lspac002880200
2128;SR_SOUDER; lspac002880100
2129;SR_SOUDER; lspac002880000
2130;SR_SOUDER; lspac002879900
2131;SR_SOUDER; lspac002879800
2132;SR_SOUDER; lspac002879700
2133;SR_SOUDER; lspac002879600
2134;SR_SOUDER; lspac002879500
2135;SR_SOUDER; lscs1002847500
2136;SR_SOUDER; lscs1002858300
2139;SR_SOUDER; lspac002880400
2145;SR_SOUDER; lscs1004621800
2146;SR_SOUDER; lscs1002858200
2147;SR_SOUDER; lspac002883400
2148;SR_SOUDER; lspac002883500
